location_id,Name,long_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,longitude,latitude,p_1880,p_1890,p_1900,p_1910,G_1880,S_1880,G_1890,S_1890,D_1900,S_1900,G_1910,S_1910,prob,places,
48,Langwiesen,13,16,11,46,40,18,13.2697,46.6717,7,4,5,5,7,0,4,0,5,0,5,0,1,Mitschig,#DIV/0!
49,Lassendorf,13,18,35,46,39,42,13.3097,46.6617,130,127,135,115,130,0,127,0,135,0,115,0,1,Möderndorf,#DIV/0!
50,St. Lorenzen im Gitschthale,13,18,28,46,40,16,13.3078,46.6711,394,370,366,325,394,0,370,0,366,0,325,0,1,Podlanig,#DIV/0!
51,Wulzentratten,13,16,43,46,40,5,13.2786,46.6681,1883,1893,1903,1913,13,0,22,0,22,0,8,0,0.0069038768,Postran,#DIV/0!
52,Gemeinde Mitschig,,,,,,,,,693,710,718,0,661,32,710,0,718,0,0,0,0.9538239538,Aigen,#N/A
53,Bergl,13,19,41,46,37,23,13.3281,46.6231,30,28,21,26,30,0,28,0,21,0,26,0,1,Forst (Radnigforst),#DIV/0!
54,Kameritsch,13,18,24,46,37,38,13.3067,46.6272,104,94,105,96,104,0,94,0,105,0,96,0,1,Grünburg,#DIV/0!
55,Kraschach,13,19,9,46,37,20,13.3192,46.6222,30,30,35,42,30,0,30,0,35,0,42,0,1,Khünburg,#DIV/0!
56,Kühweg,13,21,32,46,37,16,13.3589,46.6211,161,172,180,211,159,2,172,0,180,0,211,0,0.9875776398,Krass,#DIV/0!
57,Mitschig,13,20,41,46,37,6,13.3447,46.6183,47,62,56,55,44,3,62,0,56,0,55,0,0.9361702128,Kreuth (ob Möschach),#DIV/0!
58,Möderndorf,13,21,37,46,36,38,13.3603,46.6106,187,220,193,211,180,7,220,0,193,0,211,0,0.9625668449,Liesch,#DIV/0!
59,Podlanig,13,21,6,46,36,59,13.3517,46.6164,69,50,52,66,49,20,50,0,52,0,66,0,0.7101449275,Obermöschach,#DIV/0!
60,Postran,13,19,58,46,37,12,13.3328,46.62,65,54,76,91,65,0,54,0,76,0,91,0,1,Untermöschach,#DIV/0!
61,Gemeinde Möschach,,,,,,,,,950,981,1010,0,928,22,981,0,1010,0,0,0,0.9768421053,Radnig,#DIV/0!
62,Aigen,13,20,0,46,38,21,13.3333,46.6392,13,12,3,7,13,0,12,0,3,0,7,0,1,Obervellach,#DIV/0!
63,Forst (Radnigforst),13,22,22,46,38,24,13.3728,46.64,29,33,35,24,29,0,33,0,35,0,24,0,1,Untervellach,#DIV/0!
64,Grünburg,13,20,55,46,38,42,13.3486,46.645,61,69,109,79,61,0,69,0,109,0,79,0,1,Jenig,#DIV/0!
65,Khünburg,13,24,49,46,38,0,13.4136,46.6333,9,29,32,35,9,0,29,0,32,0,35,0,1,Rattendorf,#DIV/0!
66,Krass,13,21,54,46,38,3,13.365,46.6342,26,8,5,9,26,0,8,0,5,0,9,0,1,Bach,#N/A
67,Kreuth (ob Möschach),13,20,36,46,37,51,13.3433,46.6308,28,25,23,20,23,5,25,0,23,0,20,0,0.8214285714,Bichlhof,#N/A
68,Liesch,13,20,31,46,38,19,13.3419,46.6386,1884,1894,1904,1914,9,0,9,0,15,0,14,0,0.0047770701,Bodenhof,#N/A
69,Obermöschach,13,20,47,46,38,18,13.3464,46.6383,53,57,63,46,53,0,57,0,63,0,46,0,1,Dragantschach,#DIV/0!
70,Untermöschach,13,21,17,46,37,56,13.3547,46.6322,71,70,239,63,71,0,70,0,239,0,63,0,1,Edling,#DIV/0!
71,Radnig,13,21,28,46,38,24,13.3578,46.64,167,183,168,167,167,0,183,0,168,0,167,0,1,Hadersdorf,#DIV/0!
72,Obervellach,13,23,42,46,38,1,13.395,46.6336,243,230,62,236,243,0,230,0,62,0,236,0,1,Karnitzen,#DIV/0!
73,Untervellach,13,24,22,46,37,39,13.4061,46.6275,241,256,256,235,224,17,256,0,256,0,235,0,0.9294605809,Köstendorf,#DIV/0!
74,Gemeinde Rattendorf,,,,,,,,,441,455,466,0,441,0,455,0,466,0,0,0,1,Latschach,#DIV/0!
75,Jenig,13,13,55,46,37,18,13.2319,46.6217,63,78,99,132,63,0,78,0,99,0,132,0,1,Matschiedl,#DIV/0!
76,Rattendorf,13,15,12,46,37,16,13.2533,46.6211,378,377,367,396,378,0,377,0,367,0,396,0,1,Nieselach,#DIV/0!
77,Gemeinde St. Stefan an der Gail,,,,,,,,,1946,2022,1950,0,50,1896,45,1977,34,1916,0,0,0.0256937307,St. Paul,0
78,Bach,13,31,18,46,37,13,13.5217,46.6203,105,127,115,111,2,103,2,125,0,115,19,92,0.019047619,Pölland,#DIV/0!
79,Bichlhof,13,32,40,46,36,43,13.5444,46.6119,28,30,18,26,0,28,7,23,3,15,4,22,0,Pörtschach,#DIV/0!
